"to_station","from_station","count"
"Coltart Ave & Forbes Ave","Coltart Ave & Forbes Ave",83
"S 18th St & Sidney St","S 18th St & Sidney St",407
"Ivy St & Walnut St","Bigelow Blvd & Fifth Ave",81
"S Negley Ave & Baum Blvd","S Euclid Ave & Centre Ave",30
"S 22nd St & E Carson St","Forbes Ave & Grant St",27
"Third & Wood","S 12th St & E Carson St",28
"S 22nd St & E Carson St","Third & Wood",33
"42nd St & Butler St","Forbes Ave & Grant St",51
"10th St & Penn Ave","Forbes Ave & Market Sq",123
"Alder St & S Higland Ave","Ivy St & Walnut St",112
"17th St & Penn Ave","Forbes Ave & Market Sq",88
"Liberty Ave & Baum Blvd","Fifth Ave & S Bouquet",76
"42nd St & Butler St","Third & Wood",47
"Forbes Ave & Market Sq","First Ave & B St",66
"21st St & Penn Ave","42nd St & Butler St",144
"21st St & Penn Ave","Ivy St & Walnut St",48
"Liberty & Stanwix","Ridge Ave & Brighton Rd (CCAC)",27
"Fifth Ave & S Dithridge St","Liberty Ave & Baum Blvd",81
"Centre Ave and Consol","Ross St & Sixth Ave",43
"S Negley Ave & Baum Blvd","Atwood St & Bates",29
"S 27th & Tunnel Blvd","S 25th St & E Carson St",108
"S 18th St & Sidney St","First Ave & Smithfield St",44
"Forbes Ave & Grant St","Stevenson St & Forbes Ave",41
"Penn Ave & Putnam St (Bakery Sq)","Penn Ave & Putnam St (Bakery Sq)",187
"S Negley Ave & Baum Blvd","Fifth Ave & S Dithridge St",33
"Ross St & Sixth Ave","S 18th St & Sidney St",26
"Ivy St & Walnut St","Fifth Ave & S Bouquet",131
"Maryland Ave & Ellsworth Ave","Fifth Ave & S Bouquet",34
"S 12th St & E Carson St","S 25th St & E Carson St",65
"Boulevard of the Allies & Parkview Ave","Boulevard of the Allies & Parkview Ave",193
"Liberty Ave & Baum Blvd","Bigelow Blvd & Fifth Ave",60
"Fifth Ave & S Bouquet","Liberty Ave & S Millvale",42
"Fifth Ave & S Bouquet","Alder St & S Higland Ave",87
"Isabella St & Federal St","10th St & Penn Ave",92
"Stevenson St & Forbes Ave","Forbes Ave & Grant St",33
"First Ave & Smithfield St","First Ave & Smithfield St",204
"Isabella St & Federal St","17th St & Penn Ave",70
"Maryland Ave & Ellsworth Ave","Maryland Ave & Walnut St",72
"Ivy St & Walnut St","Maryland Ave & Walnut St",29
"Forbes Ave & Market Sq","Forbes Ave & Grant St",36
"Forbes Ave & Market Sq","Third & Wood",32
"First Ave & Smithfield St","Taylor St & Liberty Ave",28
"North Shore Trail & Ft Duquesne Bridge","42nd St & Butler St",35
"Ross St & Sixth Ave","37th St & Butler St",30
"Federal St & E North Ave","Isabella St & Federal St",56
"Fifth Ave & S Dithridge St","Maryland Ave & Ellsworth Ave",27
"S 12th St & E Carson St","Forbes Ave & Market Sq",86
"S 27th & Tunnel Blvd","Fort Duquesne Blvd & 7th",28
"Ellsworth Ave & N Neville St","Fifth Ave & S Bouquet",61
"S 18th St & Sidney St","S 27th & Tunnel Blvd",220
"Forbes Ave & Grant St","S 25th St & E Carson St",38
"42nd St & Butler St","North Shore Trail & Ft Duquesne Bridge",36
"S 27th & Tunnel Blvd","Stevenson St & Forbes Ave",26
"First Ave & Smithfield St","S 12th St & E Carson St",59
"Ross St & Sixth Ave","Ross St & Sixth Ave",220
"S 27th & Tunnel Blvd","Forbes Ave & Market Sq",73
"Fifth Ave & S Dithridge St","Ivy St & Walnut St",64
"Ridge Ave & Brighton Rd (CCAC)","North Shore Trail & Ft Duquesne Bridge",43
"S 18th St & Sidney St","Liberty & Stanwix",52
"10th St & Penn Ave","Ridge Ave & Brighton Rd (CCAC)",28
"Liberty & Stanwix","Forbes Ave & Market Sq",173
"S 12th St & E Carson St","Stevenson St & Forbes Ave",66
"Atwood St & Bates","Ivy St & Walnut St",31
"S Negley Ave & Baum Blvd","Fifth Ave & S Bouquet",28
"Taylor St & Liberty Ave","Liberty Ave & Baum Blvd",29
"37th St & Butler St","Forbes Ave & Market Sq",83
"Fort Duquesne Blvd & 7th","10th St & Penn Ave",56
"Shady Ave & Ellsworth Ave","Ivy St & Walnut St",32
"Ellsworth Ave & N Neville St","Maryland Ave & Walnut St",40
"Fort Duquesne Blvd & 7th","17th St & Penn Ave",47
"Third & Wood","S 18th St & Sidney St",30
"Forbes Ave & Market Sq","17th St & Penn Ave",107
"North Shore Trail & Ft Duquesne Bridge","Ridge Ave & Brighton Rd (CCAC)",56
"21st St & Penn Ave","Fort Duquesne Blvd & 7th",93
"Ross St & Sixth Ave","21st St & Penn Ave",77
"17th St & Penn Ave","Maryland Ave & Ellsworth Ave",28
"S 18th St & Sidney St","S 12th St & E Carson St",40
"Forbes Ave & Market Sq","10th St & Penn Ave",122
"10th St & Penn Ave","42nd St & Butler St",56
"First Ave & Smithfield St","S 27th & Tunnel Blvd",49
"17th St & Penn Ave","42nd St & Butler St",70
"21st St & Penn Ave","Forbes Ave & Market Sq",120
"Ivy St & Walnut St","Fifth Ave & S Dithridge St",77
"37th St & Butler St","Fort Duquesne Blvd & 7th",49
"Schenley Dr at Schenley Plaza","Taylor St & Liberty Ave",28
"Forbes Ave & Grant St","S 22nd St & E Carson St",28
"Bigelow Blvd & Fifth Ave","Maryland Ave & Ellsworth Ave",30
"Fort Duquesne Blvd & 7th","North Shore Trail & Ft Duquesne Bridge",43
"S Negley Ave & Baum Blvd","Bigelow Blvd & Fifth Ave",32
"12th St & Penn Ave","Forbes Ave & Market Sq",115
"Forbes Ave & Market Sq","North Shore Trail & Ft Duquesne Bridge",82
"Ross St & Sixth Ave","S 12th St & E Carson St",55
"Ivy St & Walnut St","Shady Ave & Ellsworth Ave",40
"First Ave & B St","Ridge Ave & Brighton Rd (CCAC)",26
"Liberty Ave & Baum Blvd","Fifth Ave & S Dithridge St",98
"Forbes Ave & Grant St","42nd St & Butler St",54
"Third & Wood","Taylor St & Liberty Ave",55
"Bigelow Blvd & Fifth Ave","Ivy St & Walnut St",53
"Alder St & S Higland Ave","Liberty Ave & Baum Blvd",28
"Maryland Ave & Walnut St","Maryland Ave & Ellsworth Ave",44
"Ellsworth Ave & N Neville St","Bigelow Blvd & Fifth Ave",31
"42nd St & Butler St","10th St & Penn Ave",110
"42nd St & Butler St","17th St & Penn Ave",34
"Unknown","Forbes Ave & Market Sq",29
"Maryland Ave & Walnut St","Ivy St & Walnut St",30
"Liberty Ave & S Millvale","Liberty Ave & Baum Blvd",36
"Ridge Ave & Brighton Rd (CCAC)","10th St & Penn Ave",29
"Fifth Ave & S Bouquet","Zulema St & Coltart Ave",87
"Liberty & Stanwix","42nd St & Penn Ave",70
"S 18th St & Sidney St","Forbes Ave & Grant St",27
"S 18th St & Sidney St","Third & Wood",42
"S 25th St & E Carson St","S 25th St & E Carson St",351
"21st St & Penn Ave","Isabella St & Federal St",115
"Isabella St & Federal St","S 12th St & E Carson St",34
"Schenley Dr at Schenley Plaza","Frew St & Schenley Dr",33
"Frew St & Schenley Dr","Frew St & Schenley Dr",104
"North Shore Trail & Ft Duquesne Bridge","Federal St & E North Ave",42
"42nd St & Butler St","12th St & Penn Ave",40
"Bigelow Blvd & Fifth Ave","Boulevard of the Allies & Parkview Ave",125
"37th St & Butler St","Isabella St & Federal St",87
"Ellsworth Ave & N Neville St","Alder St & S Higland Ave",44
"Fifth Ave & S Bouquet","Atwood St & Bates",82
"Liberty & Stanwix","Isabella St & Federal St",130
"Federal St & E North Ave","Fort Duquesne Blvd & 7th",86
"10th St & Penn Ave","Federal St & E North Ave",94
"17th St & Penn Ave","Federal St & E North Ave",32
"S 27th & Tunnel Blvd","Isabella St & Federal St",32
"Fifth Ave & S Bouquet","Fifth Ave & S Dithridge St",61
