"date_part","count"
1443722400,21
1443726000,17
1443729600,25
1443733200,48
1443736800,41
1443740400,32
1443744000,20
1443747600,8
1443751200,9
1443754800,11
1443758400,7
1443762000,20
1443765600,1
1443769200,6
1443772800,5
1443780000,2
1443783600,6
1443787200,13
1443790800,20
1443794400,10
1443798000,15
1443801600,20
1443805200,34
1443808800,21
1443812400,32
1443816000,11
1443819600,25
1443823200,21
1443826800,12
1443830400,9
1443834000,17
1443837600,2
1443841200,5
1443844800,8
1443848400,7
1443852000,2
1443855600,3
1443877200,3
1443880800,4
1443884400,6
1443888000,11
1443891600,4
1443895200,15
1443898800,9
1443902400,27
1443906000,18
1443909600,14
1443913200,20
1443916800,7
1443920400,12
1443924000,13
1443927600,11
1443931200,5
1443934800,5
1443938400,2
1443942000,2
1443945600,2
1443949200,1
1443960000,1
1443963600,8
1443967200,12
1443970800,20
1443974400,19
1443978000,15
1443981600,23
1443985200,25
1443988800,23
1443992400,19
1443996000,26
1443999600,39
1444003200,13
1444006800,14
1444010400,4
1444014000,5
1444017600,1
1444039200,2
1444042800,1
1444046400,8
1444050000,21
1444053600,9
1444057200,14
1444060800,25
1444064400,16
1444068000,25
1444071600,32
1444075200,23
1444078800,15
1444082400,36
1444086000,14
1444089600,11
1444093200,8
1444096800,9
1444100400,4
1444104000,6
1444107600,1
1444114800,1
1444125600,2
1444129200,2
1444132800,12
1444136400,18
1444140000,17
1444143600,12
1444147200,16
1444150800,23
1444154400,26
1444158000,14
1444161600,27
1444165200,30
1444168800,31
1444172400,24
1444176000,15
1444179600,18
1444183200,3
1444186800,1
1444190400,9
1444194000,1
1444197600,2
1444201200,2
1444212000,2
1444215600,5
1444219200,13
1444222800,18
1444226400,11
1444230000,29
1444233600,23
1444237200,21
1444240800,19
1444244400,17
1444248000,23
1444251600,33
1444255200,41
1444258800,48
1444262400,24
1444266000,9
1444269600,30
1444273200,18
1444276800,19
1444280400,5
1444284000,1
1444287600,1
1444298400,1
1444302000,5
1444305600,17
1444309200,14
1444312800,12
1444316400,9
1444320000,17
1444323600,25
1444327200,24
1444330800,18
1444334400,25
1444338000,23
1444341600,49
1444345200,30
1444348800,11
1444352400,14
1444356000,11
1444359600,12
1444363200,2
1444366800,7
1444370400,3
1444374000,3
1444384800,1
1444388400,10
1444392000,11
1444395600,14
1444399200,13
1444402800,18
1444406400,4
1444410000,2
1444413600,10
1444417200,7
1444420800,14
1444424400,21
1444428000,35
1444431600,17
1444435200,13
1444438800,11
1444442400,2
1444446000,10
1444449600,4
1444453200,6
1444456800,9
1444460400,6
1444464000,1
1444474800,2
1444478400,2
1444482000,7
1444485600,15
1444489200,20
1444492800,21
1444496400,28
1444500000,27
1444503600,56
1444507200,37
1444510800,58
1444514400,46
1444518000,19
1444521600,20
1444525200,3
1444528800,10
1444532400,5
1444536000,3
1444539600,8
1444543200,5
1444546800,4
1444550400,2
1444557600,1
1444561200,1
1444564800,5
1444568400,7
1444572000,12
1444575600,27
1444579200,21
1444582800,38
1444586400,39
1444590000,44
1444593600,35
1444597200,27
1444600800,62
1444604400,31
1444608000,11
1444611600,9
1444615200,5
1444618800,2
1444622400,5
1444629600,2
1444644000,2
1444647600,6
1444651200,9
1444654800,15
1444658400,11
1444662000,10
1444665600,20
1444669200,17
1444672800,32
1444676400,25
1444680000,13
1444683600,25
1444687200,44
1444690800,26
1444694400,11
1444698000,7
1444701600,8
1444705200,5
1444708800,5
1444716000,2
1444719600,1
1444726800,1
1444730400,1
1444734000,3
1444737600,8
1444741200,17
1444744800,11
1444748400,11
1444752000,18
1444755600,18
1444759200,11
1444762800,13
1444766400,11
1444770000,12
1444773600,33
1444777200,40
1444780800,10
1444784400,10
1444788000,5
1444791600,3
1444795200,2
1444798800,2
1444802400,1
1444806000,1
1444813200,1
1444816800,4
1444820400,4
1444824000,11
1444827600,17
1444831200,11
1444834800,10
1444838400,7
1444842000,9
1444845600,17
1444849200,14
1444852800,16
1444856400,27
1444860000,34
1444863600,20
1444867200,15
1444870800,14
1444874400,8
1444878000,5
1444881600,2
1444885200,3
1444899600,1
1444903200,2
1444906800,4
1444910400,14
1444914000,18
1444917600,19
1444921200,19
1444924800,21
1444928400,28
1444932000,19
1444935600,9
1444939200,20
1444942800,28
1444946400,37
1444950000,23
1444953600,14
1444957200,2
1444960800,6
1444968000,6
1444971600,7
1444975200,3
1444989600,1
1444993200,3
1444996800,15
1445000400,16
1445004000,6
1445007600,5
1445011200,12
1445014800,34
1445018400,21
1445022000,21
1445025600,23
1445029200,15
1445032800,21
1445036400,22
1445040000,4
1445043600,7
1445047200,4
1445050800,11
1445054400,4
1445058000,6
1445076000,1
1445079600,2
1445083200,6
1445086800,5
1445090400,8
1445094000,25
1445097600,22
1445101200,18
1445104800,19
1445108400,25
1445112000,14
1445115600,8
1445119200,8
1445122800,5
1445126400,6
1445130000,3
1445133600,11
1445137200,4
1445140800,2
1445144400,2
1445151600,1
1445158800,1
1445166000,1
1445169600,4
1445173200,2
1445176800,5
1445180400,5
1445184000,21
1445187600,5
1445191200,22
1445194800,5
1445198400,5
1445202000,12
1445205600,2
1445209200,3
1445212800,6
1445216400,3
1445227200,1
1445248800,1
1445252400,1
1445256000,4
1445259600,13
1445263200,7
1445266800,5
1445270400,24
1445274000,14
1445277600,19
1445281200,14
1445284800,11
1445288400,16
1445292000,31
1445295600,13
1445299200,11
1445302800,7
1445306400,3
1445310000,8
1445313600,6
1445317200,2
1445335200,2
1445338800,5
1445342400,8
1445346000,21
1445349600,27
1445353200,12
1445356800,23
1445360400,25
1445364000,23
1445367600,19
1445371200,17
1445374800,33
1445378400,38
1445382000,27
1445385600,15
1445389200,14
1445392800,6
1445396400,1
1445400000,2
1445403600,2
1445407200,1
1445410800,1
1445421600,4
1445425200,3
1445428800,8
1445432400,18
1445436000,10
1445439600,9
1445443200,9
1445446800,22
1445450400,38
1445454000,23
1445457600,13
1445461200,22
1445464800,44
1445468400,34
1445472000,13
1445475600,9
1445479200,6
1445482800,3
1445486400,3
1445490000,3
1445493600,1
1445500800,1
1445508000,3
1445511600,4
1445515200,10
1445518800,19
1445522400,17
1445526000,10
1445529600,19
1445533200,13
1445536800,13
1445540400,18
1445544000,14
1445547600,4
1445551200,14
1445554800,19
1445558400,11
1445562000,9
1445565600,9
1445569200,4
1445572800,8
1445576400,5
1445580000,3
1445583600,1
1445587200,2
1445594400,3
1445598000,3
1445601600,10
1445605200,14
1445608800,12
1445612400,11
1445616000,11
1445619600,22
1445623200,8
1445626800,18
1445630400,21
1445634000,39
1445637600,33
1445641200,31
1445644800,7
1445648400,9
1445652000,8
1445655600,4
1445659200,5
1445662800,7
1445666400,2
1445670000,1
1445684400,3
1445688000,4
1445691600,6
1445695200,9
1445698800,24
1445702400,34
1445706000,31
1445709600,19
1445713200,23
1445716800,22
1445720400,6
1445724000,4
1445727600,8
1445731200,6
1445734800,1
1445742000,3
1445745600,3
1445749200,4
1445752800,1
1445756400,1
1445760000,1
1445767200,2
1445770800,4
1445774400,7
1445778000,10
1445781600,17
1445785200,15
1445788800,15
1445792400,13
1445796000,15
1445799600,9
1445803200,14
1445806800,18
1445810400,9
1445814000,6
1445817600,6
1445821200,1
1445824800,2
1445828400,3
1445850000,4
1445853600,2
1445857200,8
1445860800,17
1445864400,4
1445868000,6
1445871600,12
1445875200,13
1445878800,9
1445882400,9
1445886000,14
1445889600,23
1445893200,24
1445896800,12
1445900400,6
1445904000,6
1445907600,10
1445911200,4
1445914800,1
1445918400,1
1445925600,1
1445929200,3
1445936400,2
1445940000,2
1445943600,7
1445947200,12
1445950800,15
1445954400,10
1445958000,10
1445961600,15
1445965200,13
1445968800,14
1445972400,15
1445976000,13
1445979600,18
1445983200,8
1445986800,11
1445990400,5
1445994000,3
1445997600,1
1446001200,2
1446004800,1
1446019200,1
1446026400,1
1446030000,1
1446033600,6
1446037200,2
1446040800,7
1446044400,2
1446048000,4
1446051600,3
1446055200,4
1446058800,3
1446062400,3
1446066000,13
1446069600,3
1446073200,7
1446076800,4
1446080400,4
1446084000,4
1446091200,3
1446094800,2
1446102000,1
1446109200,1
1446116400,9
1446120000,14
1446123600,12
1446127200,5
1446130800,11
1446134400,19
1446138000,15
1446141600,12
1446145200,14
1446148800,23
1446152400,22
1446156000,17
1446159600,7
1446163200,5
1446166800,1
1446170400,5
1446174000,2
1446177600,8
1446184800,1
1446195600,2
1446199200,3
1446202800,8
1446206400,17
1446210000,11
1446213600,8
1446217200,8
1446220800,17
1446224400,11
1446228000,16
1446231600,5
1446235200,28
1446238800,34
1446242400,6
1446246000,5
1446249600,4
1446253200,2
1446256800,6
1446260400,7
1446264000,1
1446267600,4
1446271200,1
1446274800,1
1446282000,1
1446289200,2
1446292800,8
1446296400,3
1446300000,9
1446303600,14
1446307200,30
1446310800,17
1446314400,42
1446318000,16
1446321600,21
1446325200,9
1446328800,3
1446332400,7
1446336000,9
1446339600,3
1446343200,4
1446346800,3
1446354000,5
1446357600,3
1446379200,1
1446382800,2
1446386400,15
1446390000,10
1446393600,14
1446397200,20
1446400800,22
1446404400,20
1446408000,26
1446411600,31
1446415200,17
1446418800,1
1446422400,3
1446426000,6
1446429600,1
1446436800,6
1446458400,1
1446462000,2
1446465600,8
1446469200,12
1446472800,11
1446476400,9
1446480000,13
1446483600,22
1446487200,6
1446490800,14
1446494400,10
1446498000,21
1446501600,26
1446505200,12
1446508800,9
1446512400,6
1446516000,9
1446519600,3
1446523200,5
1446530400,1
1446534000,1
1446544800,1
1446548400,4
1446552000,5
1446555600,19
1446559200,13
1446562800,6
1446566400,13
1446570000,23
1446573600,27
1446577200,15
1446580800,27
1446584400,10
1446588000,24
1446591600,11
1446595200,10
1446598800,7
1446602400,9
1446606000,2
1446609600,3
1446613200,1
1446631200,3
1446634800,3
1446638400,5
1446642000,17
1446645600,14
1446649200,15
1446652800,10
1446656400,14
1446660000,18
